iter	Logloss
0	0.6891791604
1	0.6861985262
2	0.6819022943
3	0.6776831761
4	0.6732862488
5	0.6694365572
6	0.666473767
7	0.6619014267
8	0.6573328696
9	0.6532071326
10	0.6500537336
11	0.6463717626
12	0.642724912
13	0.6390139997
14	0.6354586388
15	0.632405683
16	0.6285303289
17	0.6254967303
18	0.6229631408
19	0.6201828886
20	0.6169146703
21	0.613989964
22	0.6116711325
23	0.6088586602
24	0.6063509854
25	0.6039649396
26	0.6013261149
27	0.5987657279
28	0.5963922926
29	0.593244064
30	0.5913265008
31	0.5890015531
32	0.5862884521
33	0.5843465506
34	0.5825631638
35	0.5806292699
36	0.5788255802
37	0.5761553552
38	0.5733751029
39	0.5712749387
40	0.5686729999
41	0.5665650171
42	0.5646094961
43	0.5627133708
44	0.5608611934
45	0.5586761601
46	0.5559786962
47	0.5537272051
48	0.551789465
49	0.5499405033
50	0.5480135453
51	0.5461650249
52	0.5444962052
53	0.542901977
54	0.5405673823
55	0.5378716839
56	0.5363297896
57	0.5350975478
58	0.5338527585
59	0.532304748
60	0.5309044073
61	0.5291117518
62	0.5276785921
63	0.5256148094
64	0.5237738554
65	0.521674637
66	0.5203084394
67	0.5186486993
68	0.5167306632
69	0.5146068857
70	0.5126635339
71	0.5106983973
72	0.5087026801
73	0.5072828561
74	0.5056376497
75	0.5044087497
76	0.5031864387
77	0.5016379238
78	0.5004541381
79	0.4992154965
80	0.4975614627
81	0.4958787083
82	0.4946984535
83	0.4935188924
84	0.4923189652
85	0.4909947608
86	0.4901257349
87	0.4885567279
88	0.4872776063
89	0.4857826548
90	0.4844748442
91	0.4835092844
92	0.4824639943
93	0.4813685772
94	0.4799940251
95	0.4789134885
96	0.4773985808
97	0.4757991507
98	0.4742470418
99	0.4730918191
100	0.4720787174
101	0.4713388869
102	0.4703860322
103	0.4690195509
104	0.4681489803
105	0.4668508167
106	0.4655886563
107	0.4646103599
108	0.4630818958
109	0.4621882793
110	0.4614122249
111	0.4601925937
112	0.4594056311
113	0.458443886
114	0.4571241584
115	0.4561930254
116	0.4550797013
117	0.4543748966
118	0.4530924963
119	0.4523883536
120	0.451269733
121	0.4503051506
122	0.4491879487
123	0.4481564987
124	0.4472774159
125	0.4464646647
126	0.4454642052
127	0.4448831732
128	0.4443532455
129	0.4434950647
130	0.4425502493
131	0.4414984648
132	0.4406074335
133	0.4397304945
134	0.4389154103
135	0.4378263931
136	0.4369836602
137	0.4362536344
138	0.4354559528
139	0.4348859551
140	0.4337680911
141	0.4331133819
142	0.4328758303
143	0.4322213417
144	0.4313933002
145	0.4305818101
146	0.4297849482
147	0.4289146612
148	0.4279744172
149	0.427290546
150	0.4266888642
151	0.4258763022
152	0.4250458646
153	0.4243498243
154	0.4236088272
155	0.4228096324
156	0.4220620147
157	0.4214381699
158	0.420657481
159	0.4198790621
160	0.4191782297
161	0.4182886171
162	0.4174399573
163	0.4166896599
164	0.4162831267
165	0.415645757
166	0.4149611292
167	0.4141235036
168	0.4136714462
169	0.4133346179
170	0.4129992714
171	0.4124270037
172	0.4119217297
173	0.4112187535
174	0.410487908
175	0.4097307063
176	0.4092174877
177	0.4084197431
178	0.4078243665
179	0.407279117
180	0.4066305239
181	0.4061788449
182	0.4054610197
183	0.4047938575
184	0.4040357732
185	0.4031671571
186	0.4024772014
187	0.4019125631
188	0.4010422131
189	0.4004438416
190	0.3999952836
191	0.3996671566
192	0.3988908815
193	0.3982951897
194	0.3978999114
195	0.3974036855
196	0.3969428953
197	0.3962355685
198	0.3955824671
199	0.3950768778
200	0.3945848764
201	0.3938865031
202	0.3933879758
203	0.3928909302
204	0.3923479821
205	0.3916038009
206	0.3910708782
207	0.3906392184
208	0.3901700107
209	0.3896409027
210	0.3891166498
211	0.3885952658
212	0.388082457
213	0.3877918464
214	0.3876266164
215	0.3870096128
216	0.3865626627
217	0.3855332934
218	0.3850332843
219	0.3844839679
220	0.3840617661
221	0.3836260709
222	0.3828674821
223	0.3823143195
224	0.3817342963
225	0.3813084689
226	0.380778226
227	0.380248456
228	0.3797998034
229	0.3791870874
230	0.3786845877
231	0.3782057329
232	0.3779301289
233	0.3775643593
234	0.3767800134
235	0.3759054074
236	0.3754331731
237	0.3748052613
238	0.3743980975
239	0.3739670683
240	0.3734003493
241	0.3730235139
242	0.3725565761
243	0.3720979612
244	0.3716870142
245	0.3711448228
246	0.3707376906
247	0.3701885633
248	0.3698225415
249	0.3693042156
250	0.3690798421
251	0.3688252977
252	0.3685553054
253	0.3681599956
254	0.3677507511
255	0.3672115862
256	0.3668224555
257	0.3663312108
258	0.3658936556
259	0.3656389851
260	0.3650591196
261	0.3645860656
262	0.3642085682
263	0.3639922339
264	0.3638731901
265	0.3633497254
266	0.363073081
267	0.362545108
268	0.3620831828
269	0.3617729944
270	0.36133525
271	0.3610873892
272	0.3608945736
273	0.3605575562
274	0.3599675707
275	0.3594690118
276	0.3592511642
277	0.3590118787
278	0.3587358648
279	0.3582841227
280	0.3578044166
281	0.3571879805
282	0.3565552136
283	0.3561015799
284	0.3556752481
285	0.3553080283
286	0.3550049333
287	0.3546827963
288	0.3541600882
289	0.3538023263
290	0.353539459
291	0.3533118697
292	0.3530555914
293	0.3526623939
294	0.3522436914
295	0.3519608679
296	0.3516894254
297	0.3514766851
298	0.3510336442
299	0.3507407007
300	0.3505165478
301	0.3501515349
302	0.3498502369
303	0.3495141337
304	0.3491662396
305	0.3489213423
306	0.3484558232
307	0.3482682094
308	0.3479814766
309	0.3475460967
310	0.3471270475
311	0.346862793
312	0.3465632604
